"topic_given","sentiment_given","marginal_probability","topic_predicted","sentiment_predicted","conditional_probability","correlation","n_observations"
1,"negative",0.393548387096774,2,"negative",0.819672131147541,0.429271157299886,61
1,"negative",0.393548387096774,2,"neutral",0,0.429271157299886,61
1,"negative",0.393548387096774,2,"positive",0.180327868852459,0.429271157299886,61
1,"negative",0.393548387096774,3,"negative",0.885245901639344,0.441138342128171,61
1,"negative",0.393548387096774,3,"neutral",0,0.441138342128171,61
1,"negative",0.393548387096774,3,"positive",0.114754098360656,0.441138342128171,61
1,"negative",0.393548387096774,4,"negative",0.524590163934426,0.0136390938418874,61
1,"negative",0.393548387096774,4,"neutral",0,0.0136390938418874,61
1,"negative",0.393548387096774,4,"positive",0.475409836065574,0.0136390938418874,61
1,"negative",0.393548387096774,5,"negative",0.0983606557377049,-0.728470949356338,61
1,"negative",0.393548387096774,5,"neutral",0,-0.728470949356338,61
1,"negative",0.393548387096774,5,"positive",0.901639344262295,-0.728470949356338,61
1,"negative",0.393548387096774,6,"negative",0.327868852459016,-0.547364867022962,61
1,"negative",0.393548387096774,6,"neutral",0,-0.547364867022962,61
1,"negative",0.393548387096774,6,"positive",0.672131147540984,-0.547364867022962,61
1,"negative",0.393548387096774,7,"negative",0.0327868852459016,-0.594872689222184,61
1,"negative",0.393548387096774,7,"neutral",0,-0.594872689222184,61
1,"negative",0.393548387096774,7,"positive",0.967213114754098,-0.594872689222184,61
1,"negative",0.393548387096774,8,"negative",0.0327868852459016,-0.727134190445622,61
1,"negative",0.393548387096774,8,"neutral",0,-0.727134190445622,61
1,"negative",0.393548387096774,8,"positive",0.967213114754098,-0.727134190445622,61
1,"negative",0.393548387096774,9,"negative",0.147540983606557,-0.562672332456571,61
1,"negative",0.393548387096774,9,"neutral",0,-0.562672332456571,61
1,"negative",0.393548387096774,9,"positive",0.852459016393443,-0.562672332456571,61
1,"negative",0.393548387096774,10,"negative",0.442622950819672,0.354590914370558,61
