"topic_given","sentiment_given","marginal_probability","topic_predicted","sentiment_predicted","conditional_probability","correlation","n_observations","conditional_probability_smoothed","smoothed"
7,"negative",1,9,"neutral",0.333333333333333,NA,3,0.0666666666666666,TRUE
7,"negative",1,9,"positive",0,NA,3,0.00194174757281553,TRUE
7,"negative",1,10,"negative",0,NA,1,0.00194174757281553,TRUE
7,"negative",1,10,"neutral",1,NA,1,0.196116504854369,TRUE
7,"negative",1,10,"positive",0,NA,1,0.00194174757281553,TRUE
8,"neutral",1,3,"negative",0,NA,1,0.00485436893203883,TRUE
8,"neutral",1,3,"neutral",0,NA,1,0.00485436893203883,TRUE
8,"neutral",1,3,"positive",1,NA,1,0.490291262135922,TRUE
8,"neutral",1,10,"negative",0,NA,2,0.00485436893203883,TRUE
8,"neutral",1,10,"neutral",1,NA,2,0.490291262135922,TRUE
8,"neutral",1,10,"positive",0,NA,2,0.00485436893203883,TRUE
9,"negative",0.285714285714286,1,"negative",0,NA,1,0.00242718446601942,TRUE
9,"negative",0.285714285714286,1,"neutral",1,NA,1,0.245145631067961,TRUE
9,"negative",0.285714285714286,1,"positive",0,NA,1,0.00242718446601942,TRUE
9,"negative",0.285714285714286,3,"negative",0,NA,1,0.00242718446601942,TRUE
9,"negative",0.285714285714286,3,"neutral",1,NA,1,0.245145631067961,TRUE
9,"negative",0.285714285714286,3,"positive",0,NA,1,0.00242718446601942,TRUE
9,"negative",0.285714285714286,7,"negative",1,NA,2,0.245145631067961,TRUE
9,"negative",0.285714285714286,7,"neutral",0,NA,2,0.00242718446601942,TRUE
9,"negative",0.285714285714286,7,"positive",0,NA,2,0.00242718446601942,TRUE
9,"negative",0.285714285714286,10,"negative",0,NA,1,0.00242718446601942,TRUE
9,"negative",0.285714285714286,10,"neutral",1,NA,1,0.245145631067961,TRUE
9,"negative",0.285714285714286,10,"positive",0,NA,1,0.00242718446601942,TRUE
9,"neutral",0.285714285714286,2,"negative",1,NA,1,0.490291262135922,TRUE
9,"neutral",0.285714285714286,2,"neutral",0,NA,1,0.00485436893203883,TRUE
9,"neutral",0.285714285714286,2,"positive",0,NA,1,0.00485436893203883,TRUE
9,"neutral",0.285714285714286,7,"negative",1,NA,1,0.490291262135922,TRUE
9,"neutral",0.285714285714286,7,"neutral",0,NA,1,0.00485436893203883,TRUE
9,"neutral",0.285714285714286,7,"positive",0,NA,1,0.00485436893203883,TRUE
10,"neutral",1,1,"negative",0,NA,1,0.00194174757281553,TRUE
10,"neutral",1,1,"neutral",1,NA,1,0.196116504854369,TRUE
10,"neutral",1,1,"positive",0,NA,1,0.00194174757281553,TRUE
10,"neutral",1,3,"negative",0,NA,2,0.00194174757281553,TRUE
10,"neutral",1,3,"neutral",0.5,NA,2,0.0990291262135922,TRUE
10,"neutral",1,3,"positive",0.5,NA,2,0.0990291262135922,TRUE
10,"neutral",1,7,"negative",1,NA,1,0.196116504854369,TRUE
10,"neutral",1,7,"neutral",0,NA,1,0.00194174757281553,TRUE
10,"neutral",1,7,"positive",0,NA,1,0.00194174757281553,TRUE
10,"neutral",1,8,"negative",0,NA,2,0.00194174757281553,TRUE
10,"neutral",1,8,"neutral",1,NA,2,0.196116504854369,TRUE
10,"neutral",1,8,"positive",0,NA,2,0.00194174757281553,TRUE
10,"neutral",1,9,"negative",1,NA,1,0.196116504854369,TRUE
10,"neutral",1,9,"neutral",0,NA,1,0.00194174757281553,TRUE
10,"neutral",1,9,"positive",0,NA,1,0.00194174757281553,TRUE
