"file","topic","sentiment","opinion","node"
"kandidat_13",1,"negative",-1,"topic_1_negative"
"kandidat_13",2,"positive",1,"topic_2_positive"
"kandidat_13",3,"negative",-1,"topic_3_negative"
"kandidat_13",4,"negative",-1,"topic_4_negative"
"kandidat_13",5,"positive",1,"topic_5_positive"
"kandidat_13",6,"positive",1,"topic_6_positive"
"kandidat_13",7,"negative",-1,"topic_7_negative"
"kandidat_13",8,"positive",1,"topic_8_positive"
"kandidat_13",9,"positive",1,"topic_9_positive"
"kandidat_13",10,"positive",1,"topic_10_positive"
"kandidat_14",1,"negative",-1,"topic_1_negative"
"kandidat_14",2,"negative",-1,"topic_2_negative"
"kandidat_14",3,"negative",-1,"topic_3_negative"
"kandidat_14",4,"negative",-1,"topic_4_negative"
"kandidat_14",5,"positive",1,"topic_5_positive"
"kandidat_14",6,"negative",-1,"topic_6_negative"
"kandidat_14",7,"positive",1,"topic_7_positive"
"kandidat_14",8,"positive",1,"topic_8_positive"
"kandidat_14",9,"positive",1,"topic_9_positive"
"kandidat_14",10,"positive",1,"topic_10_positive"
"kandidat_15",1,"negative",-1,"topic_1_negative"
"kandidat_15",2,"negative",-1,"topic_2_negative"
"kandidat_15",3,"negative",-1,"topic_3_negative"
"kandidat_15",4,"negative",-1,"topic_4_negative"
"kandidat_15",5,"positive",1,"topic_5_positive"
"kandidat_15",6,"negative",-1,"topic_6_negative"
"kandidat_15",7,"positive",1,"topic_7_positive"
"kandidat_15",8,"positive",1,"topic_8_positive"
"kandidat_15",9,"positive",1,"topic_9_positive"
"kandidat_15",10,"positive",1,"topic_10_positive"
"kandidat_16",1,"negative",-1,"topic_1_negative"
"kandidat_16",2,"negative",-1,"topic_2_negative"
"kandidat_16",3,"positive",1,"topic_3_positive"
"kandidat_16",4,"negative",-1,"topic_4_negative"
"kandidat_16",5,"positive",1,"topic_5_positive"
"kandidat_16",6,"positive",1,"topic_6_positive"
"kandidat_16",7,"positive",1,"topic_7_positive"
"kandidat_16",8,"positive",1,"topic_8_positive"
"kandidat_16",9,"positive",1,"topic_9_positive"
"kandidat_16",10,"positive",1,"topic_10_positive"
"kandidat_17",1,"negative",-1,"topic_1_negative"
"kandidat_17",2,"negative",-1,"topic_2_negative"
"kandidat_17",3,"negative",-1,"topic_3_negative"
"kandidat_17",4,"negative",-1,"topic_4_negative"
"kandidat_17",5,"positive",1,"topic_5_positive"
"kandidat_17",6,"negative",-1,"topic_6_negative"
"kandidat_17",7,"negative",-1,"topic_7_negative"
"kandidat_17",8,"positive",1,"topic_8_positive"
"kandidat_17",9,"positive",1,"topic_9_positive"
"kandidat_17",10,"positive",1,"topic_10_positive"
